Date,Open,High,Low,Close,Adj Close,Volume
2018-11-29,1336.000000,1355.000000,1330.699951,1350.300049,1340.573364,3556169
2018-11-30,1352.800049,1361.750000,1342.150024,1345.949951,1336.254639,1030541
2018-12-03,1345.000000,1359.000000,1335.050049,1338.699951,1329.056885,710748
2018-12-04,1336.550049,1354.699951,1326.449951,1329.449951,1319.873535,830261
2018-12-05,1328.500000,1343.000000,1323.599976,1329.500000,1319.923096,864628
2018-12-06,1324.000000,1324.949951,1286.599976,1295.099976,1285.770996,896350
2018-12-07,1306.500000,1324.000000,1298.400024,1318.650024,1309.151367,1037026
2018-12-10,1280.000000,1306.250000,1262.300049,1274.199951,1265.021484,1074399
2018-12-11,1268.000000,1336.449951,1252.150024,1323.599976,1314.065674,1746513
2018-12-12,1323.000000,1337.199951,1311.849976,1330.900024,1321.313110,986580
2018-12-13,1338.449951,1343.199951,1316.000000,1320.199951,1310.690063,1175211
2018-12-14,1332.800049,1351.000000,1320.000000,1340.949951,1331.290649,1869410
2018-12-17,1340.000000,1344.949951,1330.000000,1335.849976,1326.227417,665295
2018-12-18,1338.449951,1361.000000,1327.550049,1355.699951,1345.934448,1581385
2018-12-19,1370.000000,1406.800049,1370.000000,1400.250000,1390.163574,3334213
2018-12-20,1389.900024,1431.550049,1389.050049,1425.800049,1415.529541,2578234
2018-12-21,1433.900024,1433.900024,1382.300049,1388.199951,1378.200317,2098064
2018-12-24,1388.000000,1388.949951,1351.099976,1357.050049,1347.274780,1649577
2018-12-26,1367.949951,1374.900024,1347.400024,1363.000000,1353.181885,1790087
2018-12-27,1360.050049,1384.750000,1354.300049,1372.500000,1362.613403,2174090
2018-12-28,1383.000000,1383.000000,1359.000000,1366.000000,1356.160278,1705033
2018-12-31,1375.000000,1378.000000,1367.300049,1373.050049,1363.159546,698593
2019-01-01,1373.199951,1379.699951,1358.599976,1371.550049,1361.670410,664707
2019-01-02,1367.000000,1386.849976,1361.599976,1383.300049,1373.335693,1233780
2019-01-03,1381.800049,1393.849976,1378.000000,1388.300049,1378.299683,1636293
2019-01-04,1388.000000,1401.400024,1381.400024,1385.849976,1375.867188,1202397
2019-01-07,1386.000000,1405.400024,1383.750000,1396.000000,1385.944214,1074373
2019-01-08,1401.000000,1412.699951,1395.500000,1401.250000,1391.156372,1232440
2019-01-09,1402.500000,1414.000000,1397.150024,1402.000000,1391.901001,973687
2019-01-10,1390.000000,1400.000000,1388.650024,1396.349976,1386.291626,1004783
2019-01-11,1399.750000,1406.199951,1392.400024,1403.650024,1393.539063,473391
2019-01-14,1404.000000,1410.599976,1385.449951,1388.599976,1378.597412,1360800
2019-01-15,1388.599976,1414.449951,1388.599976,1405.949951,1395.822388,1355920
2019-01-16,1410.000000,1412.949951,1387.699951,1389.750000,1379.739258,1189597
2019-01-17,1390.000000,1398.500000,1383.800049,1389.599976,1379.590210,853829
2019-01-18,1391.000000,1404.750000,1383.000000,1400.449951,1390.362061,1092189
