Date,Open,High,Low,Close,Adj Close,Volume
2018-11-29,518.000000,526.400024,516.000000,524.700012,521.672913,2799578
2018-11-30,528.000000,542.000000,527.000000,540.849976,537.729675,3855382
2018-12-03,542.000000,545.400024,534.099976,535.799988,532.708801,2033213
2018-12-04,536.000000,549.000000,535.049988,546.450012,543.297424,3400053
2018-12-05,546.000000,548.900024,525.299988,528.450012,525.401245,2192065
2018-12-06,528.000000,528.000000,511.000000,515.299988,512.327087,2562048
2018-12-07,520.000000,530.650024,512.000000,513.599976,510.636902,3503808
2018-12-10,509.899994,514.849976,503.100006,512.549988,509.592957,2201377
2018-12-11,503.000000,523.950012,503.000000,518.700012,515.707520,2326059
2018-12-12,522.900024,534.299988,521.099976,531.299988,528.234802,1683131
2018-12-13,532.000000,533.799988,519.200012,527.000000,523.959595,2234487
2018-12-14,528.349976,533.799988,516.650024,521.750000,518.739868,1950888
2018-12-17,524.000000,529.349976,520.700012,523.650024,520.628967,1196871
2018-12-18,524.000000,527.000000,520.049988,522.900024,519.883301,1628240
2018-12-19,524.000000,528.599976,522.549988,524.750000,521.722595,1241000
2018-12-20,523.700012,526.000000,515.400024,520.250000,517.248535,2074097
2018-12-21,521.000000,523.950012,514.299988,516.650024,513.669312,1758710
2018-12-24,518.799988,520.799988,513.000000,518.799988,515.806885,1214348
2018-12-26,515.599976,519.000000,507.299988,514.299988,511.332855,1318560
2018-12-27,518.900024,521.000000,514.000000,517.900024,514.912109,1351636
2018-12-28,514.299988,525.349976,514.299988,522.000000,518.988464,1933464
2018-12-31,522.000000,526.000000,517.200012,519.500000,516.502869,1897948
2019-01-01,520.000000,524.000000,518.650024,523.049988,520.032410,1361809
2019-01-02,521.900024,522.500000,513.150024,514.549988,511.581421,1243067
2019-01-03,516.500000,520.500000,511.200012,512.400024,509.443848,2086150
2019-01-04,513.000000,514.900024,508.049988,512.799988,509.841522,1651456
2019-01-07,516.000000,517.750000,510.299988,514.049988,511.084290,1168002
2019-01-08,516.000000,517.200012,511.250000,513.650024,510.686646,1765015
2019-01-09,515.549988,516.750000,507.500000,510.100006,507.157104,1929305
2019-01-10,509.000000,514.900024,509.000000,513.250000,510.288940,1252439
2019-01-11,513.400024,519.000000,508.250000,510.200012,507.256531,2051418
2019-01-14,510.200012,514.000000,505.600006,511.950012,508.996429,1472415
2019-01-15,514.500000,515.349976,509.500000,514.950012,511.979126,1177377
2019-01-16,515.000000,515.950012,509.000000,511.500000,508.549042,1446921
2019-01-17,512.500000,514.950012,507.600006,509.600006,506.660004,1598184
2019-01-18,510.200012,513.000000,507.299988,509.399994,506.461151,1502360
2019-01-21,510.000000,514.200012,508.200012,509.250000,506.312012,1150380
2019-01-22,510.000000,511.399994,502.450012,507.100006,504.174408,1455953
2019-01-23,510.000000,511.700012,507.100006,509.299988,506.361694,1358623
2019-01-24,510.000000,510.700012,496.100006,500.700012,497.811340,1620195
2019-01-25,502.100006,508.600006,501.350006,507.649994,504.721222,1193442
2019-01-28,509.000000,509.000000,489.100006,492.149994,489.310669,3215535
2019-01-29,489.100006,507.549988,483.750000,505.049988,502.136230,2675481
2019-01-30,504.950012,507.100006,497.700012,505.799988,502.881897,1524621
2019-01-31,506.000000,519.849976,504.250000,517.299988,514.315552,2203919
2019-02-01,517.650024,522.549988,512.500000,521.349976,518.342163,1380838
2019-02-04,521.000000,521.000000,506.200012,509.600006,506.660004,1480952
2019-02-05,506.549988,514.000000,501.200012,508.000000,505.069214,4358002
2019-02-06,510.500000,546.700012,504.100006,534.950012,531.863770,8775759
2019-02-07,537.099976,546.599976,528.150024,532.900024,529.825562,4417618
2019-02-08,532.849976,543.700012,531.200012,534.250000,531.167786,2747159
2019-02-11,538.700012,545.900024,535.849976,543.299988,540.165527,2989919
2019-02-12,540.049988,545.700012,536.099976,543.299988,540.165527,2252766
2019-02-14,542.900024,556.000000,537.400024,542.900024,539.767883,2766535
2019-02-15,540.000000,551.400024,528.500000,540.549988,537.431396,2491806
2019-02-18,542.000000,545.049988,532.299988,541.150024,538.028015,1590101
2019-02-19,544.799988,545.000000,536.750000,539.650024,536.536621,1879600
2019-02-20,540.200012,543.200012,538.650024,541.099976,537.978210,1208930
2019-02-21,542.849976,547.900024,540.500000,545.500000,542.352844,1093548
2019-02-22,543.799988,546.099976,539.099976,541.299988,538.177063,1592112
2019-02-25,541.500000,550.849976,541.000000,548.299988,545.136719,1961905
2019-02-26,545.099976,553.650024,538.049988,550.400024,547.224609,1952961
2019-02-27,551.000000,555.349976,544.250000,551.900024,548.716003,2389977
2019-02-28,555.000000,558.299988,546.000000,554.549988,551.350647,2618486
2019-03-01,555.000000,555.299988,547.400024,551.549988,548.367981,2430914
2019-03-05,550.000000,551.500000,546.549988,548.650024,545.484741,1644098
2019-03-06,551.000000,552.000000,541.950012,547.549988,544.391052,1587182
2019-03-07,547.650024,550.000000,539.650024,541.349976,538.226807,1144534
2019-03-08,541.000000,543.400024,538.250000,539.950012,536.834900,2618767
2019-03-11,542.000000,542.000000,535.500000,540.099976,536.984009,2342102
2019-03-12,541.900024,543.650024,537.299988,538.750000,535.641785,2049339
2019-03-13,542.000000,542.500000,531.000000,532.799988,529.726135,1582245
2019-03-14,532.049988,534.099976,530.500000,532.750000,529.676453,1490894
2019-03-15,534.099976,535.400024,528.950012,532.599976,529.527283,2019240
2019-03-18,533.049988,535.799988,529.000000,534.500000,531.416321,1266863
2019-03-19,537.150024,537.700012,530.200012,533.650024,530.571289,874797
2019-03-20,532.000000,534.799988,531.099976,533.250000,530.173523,1255306
2019-03-22,534.900024,539.000000,523.599976,526.799988,523.760742,1579084
2019-03-25,525.599976,528.700012,516.200012,526.849976,523.810425,1874898
2019-03-26,528.500000,532.500000,525.700012,529.299988,526.246338,3044792
2019-03-27,531.400024,533.599976,524.049988,525.500000,522.468262,1217387
2019-03-28,525.299988,527.349976,522.299988,525.599976,522.567627,4133379
2019-04-01,516.299988,528.750000,516.299988,525.650024,522.617432,4091454
2019-04-02,529.950012,529.950012,521.150024,522.650024,519.634705,1268431
2019-04-03,523.000000,524.799988,519.099976,520.450012,517.447388,3276338
2019-04-04,519.000000,522.000000,517.500000,521.000000,517.994202,5555991
2019-04-05,531.400024,541.000000,526.000000,532.099976,529.030151,9784780
2019-04-08,536.500000,536.900024,522.700012,525.400024,522.368835,2429845
2019-04-09,526.250000,534.500000,525.400024,532.000000,528.930786,2301681
2019-04-10,531.549988,551.750000,530.799988,546.450012,543.297424,5992326
2019-04-11,546.349976,554.700012,542.000000,544.849976,541.706604,2977870
2019-04-12,547.950012,556.700012,545.299988,554.849976,551.648926,4347530
2019-04-15,555.000000,569.200012,552.000000,566.299988,563.032837,2252373
2019-04-16,570.000000,571.750000,556.599976,559.349976,556.122925,2246831
2019-04-18,562.000000,566.650024,553.200012,561.549988,558.310242,2306549
2019-04-22,560.000000,566.000000,556.599976,561.099976,557.862854,1205612
2019-04-23,562.500000,575.950012,560.400024,561.700012,558.459412,2179959
2019-04-24,561.400024,564.500000,553.200012,558.549988,555.327576,1896565
2019-04-25,558.700012,563.950012,551.150024,555.599976,552.394592,2416194
2019-04-26,558.250000,572.900024,557.200012,567.950012,564.673340,2593397
2019-04-30,569.900024,571.049988,558.650024,565.000000,561.740356,1914026
2019-05-02,563.000000,569.700012,556.700012,565.599976,562.336914,1700976
2019-05-03,568.000000,573.000000,561.650024,564.500000,561.243286,2758638
2019-05-06,556.000000,564.500000,556.000000,563.349976,560.099854,1715311
2019-05-07,564.000000,566.299988,555.150024,557.950012,554.731079,1478162
2019-05-08,556.000000,561.400024,549.000000,558.000000,554.780762,1890174
2019-05-09,559.900024,561.049988,548.700012,557.750000,554.532227,1672967
2019-05-10,557.750000,562.700012,551.000000,555.549988,552.344910,1687480
2019-05-13,552.000000,556.750000,529.599976,546.700012,543.545959,2027570
2019-05-14,546.000000,560.750000,541.200012,556.000000,552.792297,1822829
2019-05-15,554.000000,562.500000,551.500000,555.700012,552.494019,1396473
