Date,Open,High,Low,Close,Adj Close,Volume
2018-11-29,23300.000000,23596.099609,22952.099609,23521.300781,23171.171875,92463
2018-11-30,23500.000000,23739.900391,23310.000000,23405.300781,23056.898438,86490
2018-12-03,23320.000000,23898.000000,22953.000000,23567.300781,23216.488281,92778
2018-12-04,23505.000000,23738.699219,23300.000000,23401.400391,23053.056641,53075
2018-12-05,23280.000000,23280.000000,22685.000000,22793.400391,22454.105469,88551
2018-12-06,22770.000000,22770.000000,22100.000000,22211.300781,21880.671875,115212
2018-12-07,22400.000000,22486.199219,21963.400391,22369.199219,22036.220703,96234
2018-12-10,22098.199219,22599.800781,21865.000000,22404.800781,22071.291016,50507
2018-12-11,22011.000000,22766.099609,21800.000000,22640.599609,22303.580078,61152
2018-12-12,22640.599609,23850.000000,22640.599609,23722.000000,23368.884766,66806
2018-12-13,23800.000000,24124.900391,23200.000000,23305.400391,22958.486328,108713
2018-12-14,23350.000000,23800.000000,23150.699219,23716.199219,23363.167969,76757
2018-12-17,23951.000000,23951.000000,23550.000000,23697.800781,23345.044922,44265
2018-12-18,23570.000000,23900.000000,23343.900391,23865.699219,23510.445313,61416
2018-12-19,23865.699219,24220.000000,23808.099609,23955.699219,23599.103516,49079
2018-12-20,23800.000000,24178.000000,23700.099609,24092.000000,23733.376953,50123
2018-12-21,24146.000000,24190.000000,23411.099609,23597.599609,23246.333984,57989
2018-12-24,23479.900391,23575.000000,23119.199219,23210.699219,22865.193359,34687
2018-12-26,23100.000000,23450.000000,22700.000000,23081.300781,22737.722656,55049
2018-12-27,23300.000000,23383.000000,22887.900391,22994.500000,22652.212891,47478
2018-12-28,23011.000000,23310.000000,22995.000000,23124.099609,22779.884766,37304
2018-12-31,23350.000000,23390.000000,23007.800781,23158.300781,22813.576172,43103
2019-01-01,23162.199219,23293.000000,22905.000000,23195.099609,22849.826172,44434
2019-01-02,22340.000000,22340.000000,20950.199219,21162.300781,20847.287109,481497
2019-01-03,21040.000000,21040.000000,20151.000000,20211.400391,19910.541016,468301
2019-01-04,20325.000000,20648.099609,20001.000000,20103.599609,19804.343750,341833
2019-01-07,20450.000000,20477.000000,19755.000000,19830.400391,19535.212891,215668
2019-01-08,19855.000000,20630.000000,19785.000000,20044.699219,19746.322266,366429
2019-01-09,19890.000000,20397.800781,19850.000000,20291.099609,19989.054688,163752
2019-01-10,20360.000000,20600.000000,20345.099609,20556.099609,20250.109375,102143
2019-01-11,20600.000000,20767.300781,20387.000000,20507.599609,20202.332031,112220
2019-01-14,20628.000000,20629.199219,20222.000000,20480.400391,20175.537109,70121
2019-01-15,20540.000000,20670.000000,20480.000000,20638.199219,20330.986328,63319
2019-01-16,20626.000000,20783.900391,20626.000000,20735.699219,20427.035156,67468
2019-01-17,20800.000000,20847.800781,20160.400391,20369.900391,20066.683594,103777
2019-01-18,20400.000000,20425.000000,19950.000000,20122.800781,19823.261719,108140
2019-01-21,20151.000000,20297.900391,19949.800781,20028.000000,19729.871094,95038
2019-01-22,20001.000000,20350.000000,19900.000000,20023.599609,19725.537109,137830
2019-01-23,20077.000000,20223.000000,19991.000000,20089.199219,19790.158203,53595
2019-01-24,20150.000000,20330.000000,20075.000000,20115.599609,19816.166016,45723
2019-01-25,20200.000000,20337.800781,19835.099609,20049.900391,19751.445313,67189
2019-01-28,20061.000000,20241.000000,19871.599609,19987.400391,19689.875000,101907
2019-01-29,19999.000000,20000.000000,18800.000000,18877.199219,18596.201172,193198
2019-01-30,18900.000000,19094.900391,18800.000000,18919.199219,18637.576172,102632
2019-01-31,19120.000000,19178.900391,18836.099609,19005.800781,18722.886719,67511
2019-02-01,19090.000000,20144.699219,19076.099609,19663.400391,19370.699219,185717
2019-02-04,19720.000000,20431.900391,19435.000000,20128.300781,19828.679688,162129
2019-02-05,20161.000000,20584.900391,20160.000000,20479.699219,20174.847656,101870
2019-02-06,20529.699219,21200.000000,20529.699219,21104.199219,20790.050781,129716
2019-02-07,21234.900391,21965.000000,21150.699219,21904.199219,21578.142578,135294
2019-02-08,21855.000000,21904.199219,20750.000000,20847.400391,20537.074219,123403
2019-02-11,20434.000000,21459.599609,20331.000000,20753.199219,20444.275391,261982
2019-02-12,20470.000000,21300.000000,20070.000000,21137.500000,20822.855469,259036
2019-02-14,20160.000000,20588.099609,19900.000000,20016.400391,19718.445313,140341
2019-02-15,20147.300781,20377.199219,19932.099609,20234.099609,19932.902344,123595
2019-02-18,20433.000000,20450.000000,20047.699219,20155.199219,19855.175781,85097
2019-02-19,20200.000000,20464.599609,20121.000000,20409.800781,20105.988281,65474
2019-02-20,20415.000000,20650.000000,20380.000000,20528.599609,20223.019531,69858
2019-02-21,20450.000000,20634.699219,20250.000000,20447.400391,20143.029297,67021
2019-02-22,20577.000000,20700.000000,20300.000000,20595.400391,20288.826172,74001
2019-02-25,20699.900391,20780.900391,20500.000000,20704.800781,20396.597656,46260
2019-02-26,20670.000000,20874.900391,20400.099609,20620.000000,20313.058594,87877
2019-02-27,20780.800781,20780.800781,20302.099609,20407.800781,20104.019531,62401
2019-02-28,20649.000000,20649.000000,19800.000000,19869.099609,19573.335938,187027
2019-03-01,19904.000000,20031.900391,19720.000000,19948.699219,19651.750000,98433
2019-03-05,19500.000000,21877.000000,19320.000000,21505.400391,21185.279297,452363
2019-03-06,21510.000000,21800.000000,21405.000000,21503.900391,21183.800781,126586
2019-03-07,21549.000000,21700.000000,21411.199219,21521.500000,21201.138672,83115
2019-03-08,21520.000000,22093.400391,21400.099609,21871.099609,21545.535156,195792
2019-03-11,21948.599609,23145.199219,21895.000000,22972.400391,22630.441406,248559
2019-03-12,23001.000000,23355.000000,22272.900391,22461.900391,22127.541016,199248
2019-03-13,22488.800781,22898.000000,22462.000000,22777.199219,22438.146484,146168
2019-03-14,22800.000000,22986.900391,22501.000000,22619.900391,22283.189453,96875
2019-03-15,22838.000000,22838.000000,22426.000000,22612.300781,22275.703125,98190
2019-03-18,22600.000000,22799.900391,22102.000000,22251.400391,21920.173828,99314
2019-03-19,22240.000000,22240.000000,21579.599609,21759.099609,21435.203125,201175
2019-03-20,21660.000000,21850.000000,21190.000000,21338.000000,21020.371094,137103
2019-03-22,21338.000000,21674.599609,21275.000000,21446.800781,21127.552734,216882
2019-03-25,21390.000000,21390.000000,21050.900391,21151.300781,20836.451172,99423
2019-03-26,21275.000000,21444.199219,21005.000000,21382.000000,21063.714844,109883
2019-03-27,21401.000000,21485.000000,20855.699219,20974.199219,20661.986328,117588
2019-03-28,21024.000000,21300.000000,20781.099609,20899.000000,20587.906250,125561
2019-04-01,20788.699219,20788.699219,19985.500000,20048.400391,19749.966797,195397
2019-04-02,20310.000000,21191.099609,20301.000000,20583.500000,20277.101563,314645
2019-04-03,20400.000000,20476.000000,20112.199219,20202.699219,19901.968750,123265
2019-04-04,20240.000000,20600.000000,19921.000000,20489.599609,20184.599609,167558
2019-04-05,20605.000000,21029.300781,20600.099609,20980.300781,20667.996094,127688
2019-04-08,21124.000000,21189.000000,20543.599609,20612.699219,20305.867188,86524
2019-04-09,20699.000000,21024.000000,20355.000000,20947.099609,20635.289063,80256
2019-04-10,20840.000000,21080.000000,20650.000000,20973.800781,20661.591797,83550
2019-04-11,20900.000000,21073.900391,20810.400391,20998.199219,20685.628906,97645
2019-04-12,21027.300781,21430.000000,20905.099609,21361.199219,21043.224609,130351
2019-04-15,21362.000000,21560.000000,21251.000000,21331.900391,21014.363281,64604
2019-04-16,21530.000000,21541.800781,21200.000000,21270.599609,20953.972656,61719
2019-04-18,21378.000000,21469.900391,20949.599609,21023.900391,20710.947266,69461
2019-04-22,20850.000000,20994.800781,20345.000000,20400.800781,20097.123047,61522
2019-04-23,20549.000000,20549.000000,20204.599609,20314.900391,20012.500000,73172
2019-04-24,20400.000000,20580.000000,20140.000000,20531.599609,20225.972656,80461
2019-04-25,20510.400391,20639.000000,20300.000000,20340.199219,20037.423828,91066
2019-04-26,20351.000000,20452.599609,20175.000000,20330.699219,20028.064453,63786
2019-04-30,20270.000000,20400.000000,20150.000000,20368.300781,20065.107422,65090
2019-05-02,19990.000000,20630.000000,19860.000000,20565.099609,20258.976563,109534
2019-05-03,20571.000000,20600.000000,20340.000000,20352.300781,20049.343750,52328
2019-05-06,20200.000000,20485.800781,20199.000000,20349.900391,20046.978516,55068
2019-05-07,20470.000000,20579.900391,20270.099609,20353.199219,20050.228516,48978
2019-05-08,20280.000000,20470.000000,20250.000000,20336.599609,20033.876953,43021
2019-05-09,20315.000000,20490.800781,20227.599609,20360.900391,20057.814453,43718
2019-05-10,20390.000000,20417.599609,20301.000000,20354.000000,20051.017578,54755
2019-05-13,20050.000000,20121.000000,18600.000000,18751.800781,18472.667969,342973
2019-05-14,18310.000000,19366.400391,18205.000000,19230.900391,18944.636719,374511
2019-05-15,19275.000000,20168.900391,19231.000000,19997.800781,19700.121094,217165
2019-05-16,20050.000000,20380.099609,19525.000000,20305.199219,20002.945313,126653
2019-05-17,20200.000000,21000.000000,20054.199219,20937.000000,20625.339844,131099
2019-05-20,21450.000000,21610.000000,21073.699219,21297.199219,20980.177734,111710
2019-05-21,21240.099609,21375.000000,20812.099609,20901.800781,20590.666016,60326
2019-05-22,20950.000000,21300.000000,20746.500000,21224.699219,20908.755859,74468
2019-05-23,21361.000000,21649.000000,20149.199219,20321.199219,20018.705078,147040
2019-05-24,20550.000000,21047.500000,20350.000000,20850.699219,20540.324219,109494
2019-05-27,20910.000000,21149.599609,20765.000000,20887.300781,20576.380859,66295
2019-05-28,21050.000000,21050.000000,20700.000000,20790.099609,20480.626953,91732
2019-05-29,20880.000000,20927.199219,20360.699219,20423.800781,20119.781250,68932
2019-05-30,20420.000000,20499.900391,19820.000000,19891.500000,19595.402344,134727
2019-05-31,20100.000000,20263.199219,19800.000000,19947.800781,19650.867188,111855
2019-06-03,19860.000000,20070.000000,19560.099609,19948.199219,19651.257813,157756
2019-06-04,19994.000000,20360.000000,19783.500000,20043.400391,19745.042969,127955
2019-06-06,20190.000000,20360.000000,19955.900391,20083.800781,19784.839844,126296
2019-06-07,20143.900391,20219.900391,19850.000000,19997.800781,19700.121094,72271
2019-06-10,20195.000000,20320.800781,20025.099609,20131.400391,19831.732422,42626
2019-06-11,20176.599609,20220.900391,20000.400391,20132.000000,19832.322266,42939
2019-06-12,20152.000000,20200.000000,19972.900391,20105.900391,19806.611328,41876
2019-06-13,20048.000000,20200.000000,19900.000000,20162.099609,19861.974609,59765
2019-06-14,20000.000000,20149.900391,19600.000000,19767.099609,19472.853516,48061
2019-06-17,19750.099609,19990.000000,19638.000000,19727.800781,19434.140625,48634
2019-06-18,19750.000000,19938.000000,19565.800781,19731.800781,19438.080078,55087
2019-06-19,19830.000000,20099.000000,19700.000000,19790.699219,19496.103516,84759
2019-06-20,19899.000000,19899.000000,19620.000000,19793.199219,19498.564453,71615
2019-06-21,19790.000000,19899.000000,19653.199219,19719.199219,19425.666016,54662
2019-06-24,19771.000000,19830.900391,18912.099609,19098.199219,18813.912109,124036
2019-06-25,19100.599609,19248.900391,18831.099609,19116.800781,18832.236328,129656
2019-06-26,19050.099609,19325.000000,19050.099609,19151.800781,18866.714844,81692
2019-06-27,19151.800781,19669.000000,19151.800781,19479.300781,19189.339844,118394
2019-06-28,19549.500000,19634.800781,19080.000000,19138.800781,18853.908203,76046
2019-07-01,19290.000000,19749.900391,19200.000000,19625.300781,19333.166016,102153
2019-07-02,19300.000000,20288.800781,19299.000000,20137.400391,19837.642578,143186
2019-07-03,20100.000000,20150.000000,19580.599609,19650.099609,19357.595703,92273
2019-07-04,19754.699219,20095.000000,19636.000000,19825.400391,19530.287109,105134
2019-07-05,19949.300781,20045.000000,19581.800781,19645.099609,19352.671875,75386
2019-07-08,19680.000000,19753.599609,18851.000000,19032.900391,18749.583984,99141
2019-07-09,19180.000000,19295.400391,18730.099609,19038.599609,18755.199219,129564
2019-07-10,18990.000000,19270.900391,18650.000000,18751.000000,18471.878906,83121
2019-07-11,18914.900391,19066.699219,18820.000000,19034.199219,18750.863281,69500
2019-07-12,18984.199219,19100.000000,18860.000000,18955.300781,18673.140625,83310
2019-07-15,19100.000000,19198.000000,18787.500000,18833.800781,18553.447266,50053
2019-07-16,18870.000000,19100.000000,18654.099609,19041.199219,18757.759766,60294
2019-07-17,19050.000000,19050.000000,18310.099609,18433.699219,18159.302734,94084
2019-07-18,18530.000000,18581.199219,18350.000000,18406.000000,18132.015625,68383
2019-07-19,18527.000000,18540.000000,17500.000000,17664.000000,17401.060547,184141
2019-07-22,17725.000000,17794.099609,16974.900391,17072.000000,16817.873047,233448
2019-07-23,17200.000000,17381.300781,17041.599609,17098.400391,16843.880859,113140
2019-07-24,17100.500000,17154.900391,16175.000000,16381.000000,16256.000000,245025
2019-07-25,16200.000000,16719.800781,16187.799805,16436.800781,16436.800781,205968
2019-07-26,16443.900391,17476.900391,16327.200195,17186.599609,17186.599609,230056
2019-07-29,17000.000000,17000.000000,16340.000000,16388.099609,16388.099609,153107
2019-07-30,16490.000000,16725.000000,16009.200195,16163.500000,16163.500000,182198
2019-07-31,16252.000000,16451.699219,15976.599609,16348.000000,16348.000000,154864
2019-08-01,15950.000000,16760.000000,15786.000000,16562.800781,16562.800781,256828
2019-08-02,16150.000000,17111.800781,16133.299805,16905.000000,16905.000000,300344
2019-08-05,16872.000000,16872.000000,16340.000000,16504.000000,16504.000000,143439
2019-08-06,16410.000000,17144.599609,16410.000000,17010.800781,17010.800781,132160
2019-08-07,16816.000000,17174.800781,16340.000000,16456.699219,16456.699219,154054
2019-08-08,16660.000000,16900.000000,16293.200195,16811.699219,16811.699219,134147
2019-08-09,16730.199219,17787.900391,16730.199219,17587.199219,17587.199219,182889
2019-08-13,17600.000000,17649.800781,16547.800781,16645.000000,16645.000000,147466
2019-08-14,16995.000000,16995.000000,16401.199219,16574.699219,16574.699219,216106
2019-08-16,16600.000000,16720.000000,16183.400391,16600.400391,16600.400391,172899
2019-08-19,16800.000000,16800.000000,16292.599609,16337.700195,16337.700195,135047
2019-08-20,16437.699219,16570.000000,15830.000000,15895.799805,15895.799805,241464
2019-08-21,16060.000000,16280.000000,15909.400391,16000.500000,16000.500000,179743
